Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Kingdom Hearts II,Game: Kingdom Hearts II, Platform: PS2,0.58,1.38,2.2,0.17,4.33
FIFA 14,Game: FIFA 14, Platform: X360,2.93,0.01,0.92,0.46,4.31
Call of Duty: Advanced Warfare,Game: Call of Duty: Advanced Warfare, Platform: X360,1.18,0,2.75,0.37,4.31
Asteroids,Game: Asteroids, Platform: 2600,0.26,0,4,0.05,4.31
Fable II,Game: Fable II, Platform: X360,1.27,0.11,2.51,0.41,4.31
Halo 5: Guardians,Game: Halo 5: Guardians, Platform: XOne,1.2,0.03,2.64,0.39,4.26
Super Mario 3D World,Game: Super Mario 3D World, Platform: WiiU,1.11,0.72,2.11,0.3,4.25
Batman: Arkham Asylum,Game: Batman: Arkham Asylum, Platform: PS3,1.34,0.07,2.23,0.61,4.25
Assassin's Creed: Revelations,Game: Assassin's Creed: Revelations, Platform: PS3,2.02,0.1,1.41,0.72,4.24
Namco Museum,Game: Namco Museum, Platform: GBA,1.11,0.05,3,0.07,4.24
Metal Gear Solid 3: Snake Eater,Game: Metal Gear Solid 3: Snake Eater, Platform: PS2,0,0.83,1.46,1.93,4.23
Daxter,Game: Daxter, Platform: PSP,1.02,0,2.45,0.75,4.22
Warcraft II: Tides of Darkness,Game: Warcraft II: Tides of Darkness, Platform: PC,2.27,0,1.7,0.23,4.21
The Legend of Zelda: Ocarina of Time,Game: The Legend of Zelda: Ocarina of Time, Platform: 3DS,1.27,0.62,2.03,0.3,4.21
FIFA Soccer 06,Game: FIFA Soccer 06, Platform: PS2,2.55,0.04,0.78,0.84,4.21
EyeToy Play,Game: EyeToy Play, Platform: PS2,2.3,0.2,0.88,0.83,4.2
Uncharted 4: A Thief's End,Game: Uncharted 4: A Thief's End, Platform: PS4,2.07,0.18,1.3,0.65,4.2
Gran Turismo 5 Prologue,Game: Gran Turismo 5 Prologue, Platform: PS3,1.83,0.57,1.28,0.53,4.2
